time,hwins,twins,helec,telec
2016-11-07 14:35:20.979642,0.724,0.261,301.433,235.913
2016-11-07 14:36:33.041888,0.723,0.27,302.334,235.042
2016-11-07 14:37:45.021721,0.716,0.275,301.533,235.687
2016-11-07 14:38:57.054460,0.723,0.268,302.507,234.791
2016-11-07 14:40:09.470531,0.706,0.283,300.677,236.525
2016-11-07 14:41:21.517733,0.707,0.278,301.327,235.863
2016-11-07 14:42:33.980743,0.727,0.269,302.965,234.441
2016-11-07 14:43:46.087509,0.716,0.274,301.388,235.832
2016-11-07 14:44:58.459938,0.723,0.266,302.144,235.226
2016-11-07 14:46:10.745336,0.711,0.284,303.027,234.223
2016-11-07 14:47:22.582787,0.743,0.243,304.457,232.787
2016-11-07 14:48:34.688243,0.711,0.277,302.112,235.216
2016-11-07 14:49:46.600527,0.73,0.262,301.556,235.604
2016-11-07 14:50:58.789013,0.726,0.266,299.67,237.67
2016-11-07 14:52:11.267073,0.709,0.279,301.833,235.411
2016-11-07 14:53:23.049792,0.746,0.243,303.235,234.033
2016-11-07 14:54:35.110914,0.729,0.263,303.535,233.642
2016-11-07 14:55:47.198756,0.737,0.257,303.533,233.741
2016-11-07 14:56:59.101265,0.705,0.281,301.799,235.391
2016-11-07 14:58:11.290586,0.746,0.246,304.476,232.906
2016-11-07 14:59:23.266594,0.702,0.278,300.641,236.621
2016-11-07 15:00:35.097895,0.728,0.263,301.646,235.592
2016-11-07 15:01:47.414463,0.72,0.27,301.931,235.289
2016-11-07 15:02:59.279922,0.718,0.275,299.417,237.917
2016-11-07 15:04:11.161679,0.738,0.258,302.194,235.11
2016-11-07 15:05:23.329640,0.739,0.247,305.609,231.617
2016-11-07 15:06:35.226375,0.729,0.261,301.989,235.195
2016-11-07 15:07:47.047128,0.721,0.262,303.772,233.532
2016-11-07 15:08:59.094067,0.741,0.248,304.596,232.618
2016-11-07 15:10:11.142524,0.73,0.256,302.416,234.93
2016-11-07 15:11:23.081084,0.711,0.281,300.631,236.667
2016-11-07 15:12:34.936013,0.751,0.239,305.007,232.219
2016-11-07 15:13:47.134335,0.729,0.262,303.584,233.654
2016-11-07 15:14:59.070507,0.75,0.237,305.316,231.934
2016-11-07 15:16:11.304914,0.738,0.255,301.873,235.455
2016-11-07 15:17:23.246320,0.726,0.261,301.51,235.782
2016-11-07 15:18:35.496120,0.738,0.253,303.486,233.8
2016-11-07 15:19:47.460123,0.743,0.25,303.616,233.712
2016-11-07 15:20:59.481902,0.731,0.259,303.523,233.781
2016-11-07 15:22:11.692625,0.735,0.256,303.259,234.075
2016-11-07 15:23:23.882247,0.718,0.276,302.382,234.88
2016-11-07 15:24:35.580677,0.708,0.274,300.956,236.354
2016-11-07 15:25:47.691029,0.741,0.251,303.441,233.905
2016-11-07 15:26:59.562508,0.722,0.27,302.823,234.403
2016-11-07 15:28:11.535343,0.746,0.245,304.82,232.472
2016-11-07 15:29:23.477772,0.706,0.282,301.177,236.157
2016-11-07 15:30:35.373867,0.702,0.286,300.949,236.373
